Word,Transformation
afaik,as far as i know
afk,away from keyboard
asap,as soon as possible
atk,at the keyboard
atm,at the moment
a3,anytime
b,be
bak,back at keyboard
bbl,be back later
bbs,be back soon
bfn,bye for now
b4n,bye for now
bcause,because
bcoz,because
befr,before
bf,breakfast
bt,but
c,see
cuz,because
coz,because
cme,come
brb,be right back
brt,be right there
btw,by the way
b4,before
b4n,bye for now
cu,see you
cul8r,see you later
cya,see you
d,the
dr,doctor
dr.,doctor
dis,this
dnt,do not
don’t,do not
don’t,do not
dng,doing
evn,even
faq,frequently asked questions
fc,fingers crossed
fwiw,for what it's worth
fwd,forward
fyi,for your information
fr,for
frm,from
gal,get a life
gg,good game
gn,good night
gmta,great minds think alike
gr8,great!
g9,genius
giv,give
gv,give
gud,good
hav,have
hng,going
hve,have
hv,have
ic,i see
icq,i seek you (also a chat program)
ilu,ilu: i love you
imho,in my honest/humble opinion
imo,in my opinion
imp,important
iow,in other words
irl,in real life
kiss,keep it simple
knw,know
ldr,long distance relationship
lmao,laugh my a.. off
lol,laughing out loud
littel,little
ltns,long time no see
luv,love
l8r,later
m,i'm
mnths,months
monthas,months
mrng,morning
mte,my thoughts exactly
m8,mate
nrn,no reply necessary
nyt,night
ni8,night
nw,now
n,and
oic,oh i see
ovr,over
pita,pain in the a..
prt,party
plz,please
pls,please
pls,please
prw,parents are watching
rofl,rolling on the floor laughing
roflol,rolling on the floor laughing out loud
rotflmao,rolling on the floor laughing my a.. off
ryt,right
ri8,right
sk8,skate
stats,your sex and age
sry,sorry
srry,sorry
tel,tell
tq,thank you
tx,thanks
thx,thank you
tnx,thank you
tk,took
tis,this
tnq,thank you
thnku,thank you
ttfn,ta-ta for now!
ttyl,talk to you later
u,you
u.,you
ur,your
u2,you too
u4e,yours for ever
v,we
vth,with
wat,what
waz,was
wattttt,what?
wattt,what?
wen,when
wn,when
welcm,welcome
wb,welcome back
whr,where
wr,where
wil,will
wt,what
wtf,what the fuck
wtg,way to go!
wuf,where are you from?
w8,wait
wz,was
y,why
yaa,yeah
ya,yeah
1yr,1 year
yr,year
7k,sick:-d laugher
j&j,johnson
jhonson,johnson
jnj,johnson
johnsons,johnson
jnsn,johnson
jhnsn,johnson
jonson,johnson
j$j,johnson
j& j,johnson
gohnsons,johnson
shampo,shampoo
shampu,shampoo
sampoo,shampoo
sabun,saboon
himalya,himalaya
himalay,himalaya
himalayan,himalaya
himalyan,himalaya
sabamed,sebamed
sebamed,sebamed
seba med,sebamed
aveno,aveeno
malis,malish
bath,bathing
nahana,nahlana
nehlana,nahlana
nehlna,nahlana
nehlake,nahlana
nehlaye,nahlana
nehlati,nahlana
nehlao,nahlana
mustella,mustela
mustalla,mustela
cetaphill,cetaphil
citafil,cetaphil
citafile,cetaphil
citafill,cetaphil
citafils,cetaphil
citaphil,cetaphil
citaphill,cetaphil
citafil,cetaphil
citafill,cetaphil
momco,momsco
exzema,eczema
rash,rashes
raches,rashes
ghamoriya,ghamori
gamori,ghamori
gamoriya,ghamori
roughskin,rough skin
phunsi,funsi
redskin,red skin
pimpls,pimple
hardskin,hard skin
scrabies,scabies
nvlon,nevlon
dabar,dabur
chico,chicco
sweling,swelling
gell,gel
jel,gel
jell,gel
zel,gel
